vxs,vys,vzs
-1.2246170160000003,5.868515576000001,-7.197257592000001
-1.282613416,6.105955464,-7.4886727440000005
-1.4239654800000001,6.140983016000001,-7.513748200000001
-1.3545822640000003,6.098297744,-7.537387368
-1.3456811200000003,6.0996391679999995,-7.49355432
-1.255337664,6.1201196000000015,-7.46943848
-1.2648130880000001,6.144140968,-7.516235440000002
-1.153223232,6.6047590000000005,-7.12059964
-1.1830810880000002,6.775781152000001,-6.964028960000001
-1.16901456,7.072078272000001,-6.6206467600000005
-1.2433750000000001,7.552793752000001,-6.185579680000001
-1.8115641040000001,7.871964856,-5.993694896
-1.3464474800000001,7.696827880000001,-5.902011976000001
-1.6303033040000001,7.390578664,-6.3274119440000005
-1.5389065440000003,7.661896368000001,-6.079253992
-1.573933704,7.757024576,-5.924693488000001
-1.58580072,7.6678288960000005,-5.992068096000001
-1.646859424,7.442736224000001,-6.092365608
-1.5485716960000002,7.509058312000001,-6.202232232
-1.512013776,7.220801504000001,-6.474411944000001
-1.287207264,6.843346664,-6.869378600000001
-1.338600424,6.880193880000001,-6.635864592000001
-1.3741050400000003,6.873398560000001,-6.848611224000001
-1.1029786320000001,6.924025752000001,-6.791667344
-1.2971605360000003,7.059255168000001,-6.724388384000001
-1.36453632,6.62370828,-7.065188088
-1.245863416,6.076958048,-7.303105824000001
-1.4630133840000001,5.725917344,-7.739607232000001
-1.2867286320000002,4.993215248000001,-8.309806120000001
-1.3543905760000001,4.6213134799999995,-8.930441688
-0.6417851440000001,4.151123592,-9.121943096000003
0.692892144,4.398610832,-9.225015184000002
0.8630507200000002,4.872533736,-8.847084456000001
1.0120616800000002,5.203091264000001,-8.465802912000001
0.7577779440000001,5.470103632000001,-8.327894568
0.935595024,5.566955072,-8.289899968
0.47985582400000004,6.004414528000001,-7.738553144000001
-0.12738118399999998,6.32645468,-7.521500000000001
0.7550970560000001,6.685533736000001,-7.301957264
0.07952817600000002,7.080882984000001,-7.043941296
