ax, ay, az, gx, gy, gz, rx, ry, rz, lat, long, alt, time
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.456787, -0.372559, -0.810547, 5.648855, 3.893130, -1.709924, -0.536274, -0.766989, -179.974213, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.447021, -0.364014, -0.816162, -5.236641, -1.801527, 1.908397, -1.176902, -1.481187, -179.985992, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.473389, -0.378662, -0.780273, 4.122138, 2.213740, -2.473282, -1.699158, -2.196091, 179.992401, 40.450777, -79.947683, 270.840000, 22:46:35.0
-0.460449, -0.373535, -0.796631, -2.580153, 1.511450, -0.702290, -2.306383, -2.955774, -179.994736, 40.450777, -79.947683, 270.840000, 22:46:35.0
-0.457031, -0.372559, -0.808838, 5.648855, 1.541985, -1.419847, -2.690953, -3.549778, 179.994812, 40.450777, -79.947683, 270.840000, 22:46:35.0
-0.453125, -0.350098, -0.811523, -3.526718, -0.839695, 2.198473, -3.338398, -4.274053, 179.953384, 40.450777, -79.947683, 270.840000, 22:46:35.0
-0.471191, -0.354736, -0.805908, 3.725191, 1.954198, -2.015267, -3.812411, -5.005640, 179.921936, 40.450777, -79.947683, 270.840000, 22:46:35.0
-0.451904, -0.358154, -0.809570, 2.381679, 1.465649, 0.534351, -4.439307, -5.772632, 179.896881, 40.450777, -79.947683, 270.840000, 22:46:35.0
-0.467773, -0.389893, -0.801758, -0.580153, 0.702290, -1.938931, -4.901252, -6.501366, 179.870010, 40.450788, -79.947691, 271.080000, 22:47:3.0
-0.455811, -0.350586, -0.821777, 1.770992, 0.473282, 1.465649, -5.558546, -7.233758, 179.793991, 40.450788, -79.947691, 271.080000, 22:47:3.0
-0.463867, -0.383789, -0.799316, -0.748092, 1.862595, -1.374046, -6.027161, -7.980871, 179.751266, 40.450788, -79.947691, 271.080000, 22:47:3.0
-0.457275, -0.369385, -0.803955, 3.251908, 0.229008, 0.076336, -6.631083, -8.704700, 179.678864, 40.450788, -79.947691, 271.080000, 22:47:3.0
-0.466553, -0.379639, -0.794922, -3.541985, 3.954198, -1.450382, -7.137375, -9.478164, 179.637405, 40.450788, -79.947691, 271.080000, 22:47:3.0
-0.452148, -0.350586, -0.830811, 4.503817, -2.427481, 0.748092, -7.723276, -10.193972, 179.519455, 40.450788, -79.947691, 271.080000, 22:47:3.0
