ax, ay, az, gx, gy, gz, rx, ry, rz, lat, long, alt, time
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0:0:0.0
0.502197, 0.650146, -0.560547, 0.000000, 0.732824, -0.519084, 0.590738, 0.421523, -179.985046, 0.000000, 0.000000, 0.000000, 0:0:0.0
0.504639, 0.639160, -0.574707, -0.030534, 1.007634, -0.687023, 1.305871, 0.977384, -179.987778, 0.000000, 0.000000, 0.000000, 0:0:0.0
0.498535, 0.643311, -0.557617, 0.702290, 1.572519, -0.977099, 2.046932, 1.496342, -179.978622, 0.000000, 0.000000, 0.000000, 0:0:0.0
0.497559, 0.642822, -0.568115, -0.183206, 0.473282, -0.213740, 2.759563, 2.048992, -179.996994, 40.448604, -79.946944, 269.800000, 23:22:32.0
0.500244, 0.650391, -0.560059, 1.938931, 2.045802, -1.465649, 3.500514, 2.569684, 179.995590, 40.448604, -79.946944, 269.800000, 23:22:32.0
0.501221, 0.641357, -0.569336, -1.053435, 0.244275, -0.320611, 4.216056, 3.119648, 179.964813, 40.448604, -79.946944, 269.800000, 23:22:32.0
0.498535, 0.642822, -0.572510, 0.992366, 2.366412, -1.404580, 4.945720, 3.647785, 179.936737, 40.448604, -79.946944, 269.800000, 23:22:32.0
0.506348, 0.645264, -0.557129, -0.656489, -0.137405, -0.015267, 5.673291, 4.190595, 179.894974, 40.448604, -79.946944, 269.800000, 23:22:32.0
0.499512, 0.637695, -0.576172, 0.076336, 1.480916, -0.854962, 6.245913, 4.628324, 179.856873, 40.448604, -79.946944, 269.800000, 23:22:32.0
0.495117, 0.651367, -0.564453, 0.641221, 1.251908, -0.793893, 6.983761, 5.147667, 179.814545, 40.448604, -79.946944, 269.800000, 23:22:32.0
0.499512, 0.642334, -0.563965, 0.015267, 0.427481, -0.381679, 7.693828, 5.706759, 179.747269, 40.448604, -79.946944, 269.800000, 23:22:32.0
0.500000, 0.639160, -0.566895, 1.557252, 1.801527, -1.419847, 8.421827, 6.235576, 179.689560, 40.448604, -79.946944, 269.800000, 23:22:32.0
0.498779, 0.643066, -0.567383, -0.351145, 0.106870, -0.167939, 9.129936, 6.789506, 179.610504, 40.448604, -79.946944, 269.800000, 23:22:32.0
0.496582, 0.645996, -0.564209, 1.984733, 2.274809, -1.312977, 9.849021, 7.324701, 179.533844, 40.448604, -79.946944, 269.800000, 23:22:32.0
0.495605, 0.643555, -0.566650, -0.183206, 0.000000, -0.091603, 10.565705, 7.871586, 179.443924, 40.448604, -79.946944, 269.800000, 23:22:32.0
0.505371, 0.638672, -0.578125, 1.022901, 2.549618, -1.465649, 11.273396, 8.415059, 179.350281, 40.448604, -79.946944, 269.800000, 23:22:32.0
0.502930, 0.644775, -0.555176, -0.687023, -0.076336, -0.335878, 11.989964, 8.956588, 179.251007, 40.448604, -79.946944, 269.800000, 23:22:32.0
0.499512, 0.635742, -0.582031, -0.244275, 1.862595, -0.900763, 12.684265, 9.517886, 179.136414, 40.448604, -79.946944, 269.800000, 23:22:32.0
0.505127, 0.654053, -0.556885, 1.541985, 2.351145, -1.587786, 13.268602, 9.933743, 179.052338, 40.448604, -79.946944, 269.800000, 23:22:32.0
0.500488, 0.648193, -0.560059, 0.305344, -0.137405, -0.045802, 13.960191, 10.500360, 178.922211, 40.448599, -79.946941, 269.800000, 23:22:33.0
0.500977, 0.645020, -0.568359, 1.832061, 2.259542, -1.374046, 14.671877, 11.036681, 178.795059, 40.448599, -79.946941, 269.800000, 23:22:33.0
0.495850, 0.641846, -0.560791, -0.396947, 0.183206, -0.335878, 15.361253, 11.597096, 178.654709, 40.448599, -79.946941, 269.800000, 23:22:33.0
0.498535, 0.648926, -0.566650, 0.900763, 2.259542, -1.297710, 16.051676, 12.148608, 178.511108, 40.448599, -79.946941, 269.800000, 23:22:33.0
0.499023, 0.643555, -0.562500, -0.656489, -0.213740, 0.045802, 16.748041, 12.703555, 178.356476, 40.448599, -79.946941, 269.800000, 23:22:33.0
0.500000, 0.640381, -0.575928, 0.030534, 1.435115, -0.839695, 17.291647, 13.160828, 178.225204, 40.448599, -79.946941, 269.800000, 23:22:33.0
0.501465, 0.646484, -0.554443, -0.946565, 0.198473, 0.030534, 18.124361, 13.820654, 178.029099, 40.448599, -79.946941, 269.800000, 23:22:33.0
0.497314, 0.641846, -0.578613, -0.122137, 1.236641, -0.625954, 18.790792, 14.408148, 177.843964, 40.448599, -79.946941, 269.800000, 23:22:33.0
0.501221, 0.648438, -0.559326, 0.671756, 1.740458, -1.206107, 19.484976, 14.954370, 177.669708, 40.448595, -79.946941, 269.790000, 23:22:34.0
0.499023, 0.639648, -0.571533, -0.198473, 0.000000, 0.152672, 20.144480, 15.549462, 177.468933, 40.448595, -79.946941, 269.790000, 23:22:34.0
0.501953, 0.638428, -0.567871, 1.541985, 2.274809, -1.435115, 20.681765, 16.001141, 177.313721, 40.448595, -79.946941, 269.790000, 23:22:34.0
0.499023, 0.640381, -0.553711, -0.671756, 0.091603, -0.167939, 21.348234, 16.584349, 177.105225, 40.448595, -79.946941, 269.790000, 23:22:34.0
0.503174, 0.644043, -0.573242, 0.717557, 2.000000, -1.053435, 22.004433, 17.174231, 176.888809, 40.448595, -79.946941, 269.790000, 23:22:34.0
0.504395, 0.647705, -0.552734, -0.824427, 0.824427, -0.198473, 22.669746, 17.752174, 176.668900, 40.448595, -79.946941, 269.790000, 23:22:34.0
0.492676, 0.636475, -0.572266, 0.259542, 0.366412, -0.351145, 23.329082, 18.355095, 176.433746, 40.448595, -79.946941, 269.790000, 23:22:34.0
0.504883, 0.639404, -0.558350, 2.351145, 2.610687, -1.389313, 23.989702, 18.937416, 176.198578, 40.448598, -79.946944, 269.780000, 23:22:35.0
0.502197, 0.643311, -0.560791, 0.717557, -0.412214, -0.290076, 24.640833, 19.549572, 175.947800, 40.448598, -79.946944, 269.780000, 23:22:35.0
0.506836, 0.648682, -0.566650, 2.870229, 2.488550, -1.725191, 25.293592, 20.150656, 175.693207, 40.448598, -79.946944, 269.780000, 23:22:35.0
0.496826, 0.645752, -0.567871, 0.015267, -0.137405, 0.015267, 25.935383, 20.766436, 175.423645, 40.448598, -79.946944, 269.780000, 23:22:35.0
0.505371, 0.643799, -0.563232, 1.938931, 2.534351, -1.251908, 26.568750, 21.381407, 175.148315, 40.448598, -79.946944, 269.780000, 23:22:35.0
0.507080, 0.642822, -0.556396, -1.114504, 0.595420, -0.549618, 27.076405, 21.874264, 174.924484, 40.448598, -79.946944, 269.780000, 23:22:35.0
0.499023, 0.639160, -0.575195, -1.175573, 1.404580, -0.946565, 27.697100, 22.516659, 174.631500, 40.448598, -79.946944, 269.780000, 23:22:35.0
0.501221, 0.647461, -0.552979, 0.076336, 0.931298, -0.763359, 28.353674, 23.131191, 174.331512, 40.448598, -79.946944, 269.780000, 23:22:35.0
0.506348, 0.635742, -0.583740, -1.450382, 0.641221, -0.259542, 28.956383, 23.795303, 174.015549, 40.448598, -79.946944, 269.780000, 23:22:35.0
0.501953, 0.649658, -0.563965, 1.404580, 2.061069, -1.083969, 29.603167, 24.413952, 173.697266, 40.448598, -79.946944, 269.780000, 23:22:35.0
0.497559, 0.638428, -0.566895, -1.099237, -0.229008, 0.244275, 30.196131, 25.091187, 173.362701, 40.448598, -79.946944, 269.780000, 23:22:35.0
0.504883, 0.650635, -0.562500, 2.488550, 2.809160, -2.152672, 30.824972, 25.722467, 173.031433, 40.448598, -79.946944, 269.780000, 23:22:35.0
0.495117, 0.642334, -0.556885, -1.465649, -0.946565, 0.152672, 31.415865, 26.406027, 172.678268, 40.448598, -79.946944, 269.780000, 23:22:35.0
0.499756, 0.643066, -0.557861, 1.679389, 3.007634, -1.984733, 32.022152, 27.073025, 172.320389, 40.448598, -79.946944, 269.780000, 23:22:35.0
0.501953, 0.644043, -0.556396, -1.389313, 0.106870, -0.122137, 32.515743, 27.613052, 172.022278, 40.448598, -79.946944, 269.780000, 23:22:35.0
0.502197, 0.641357, -0.579590, -0.335878, 1.679389, -1.038168, 33.091564, 28.316635, 171.639648, 40.448598, -79.946944, 269.780000, 23:22:35.0
0.499512, 0.649658, -0.557129, 0.870229, 1.160305, -0.687023, 33.701630, 28.989645, 171.247604, 40.448598, -79.946944, 269.780000, 23:22:35.0
0.501953, 0.635498, -0.582520, -0.748092, 0.412214, -0.274809, 34.258713, 29.717836, 170.842758, 40.448598, -79.946944, 269.780000, 23:22:35.0
0.502686, 0.647217, -0.547852, 1.954198, 2.503817, -1.694656, 34.855804, 30.403395, 170.431793, 40.448598, -79.946944, 269.780000, 23:22:35.0
0.494629, 0.645020, -0.556641, -0.809160, -1.099237, 0.564885, 35.411457, 31.144556, 170.002609, 40.448598, -79.946944, 269.780000, 23:22:35.0
0.493164, 0.645752, -0.570312, 2.122137, 3.312977, -1.374046, 35.970455, 31.864336, 169.570114, 40.448598, -79.946944, 269.780000, 23:22:35.0
0.500488, 0.652344, -0.551514, -0.366412, 0.366412, -0.503817, 36.428688, 32.440800, 169.214813, 40.448598, -79.946944, 269.780000, 23:22:35.0
0.503174, 0.638672, -0.573730, -1.786260, 0.763359, -0.137405, 36.946026, 33.217083, 168.757065, 40.448598, -79.946944, 269.780000, 23:22:35.0
0.504639, 0.648926, -0.554199, 1.312977, 1.984733, -1.465649, 37.532787, 33.941860, 168.286682, 40.448598, -79.946944, 269.780000, 23:22:35.0
0.500488, 0.651367, -0.566895, -0.885496, 0.748092, -0.610687, 38.142879, 34.892273, 167.714264, 40.448601, -79.946950, 269.780000, 23:22:36.0
0.501953, 0.650391, -0.548584, 1.725191, 2.091603, -1.770992, 38.615746, 35.483139, 167.314026, 40.448601, -79.946950, 269.780000, 23:22:36.0
0.496826, 0.640869, -0.583496, -3.465649, -0.748092, 0.732824, 39.104084, 36.301311, 166.812531, 40.448601, -79.946950, 269.780000, 23:22:36.0
0.500977, 0.648926, -0.548584, 2.335878, 3.480916, -2.213740, 39.663456, 37.062511, 166.292099, 40.448601, -79.946950, 269.780000, 23:22:36.0
0.499512, 0.636475, -0.576416, -3.389313, -1.847328, 1.389313, 40.153927, 37.898697, 165.756958, 40.448601, -79.946950, 269.780000, 23:22:36.0
0.498047, 0.640625, -0.572266, 3.190840, 3.190840, -2.396947, 40.562012, 38.550137, 165.324615, 40.448601, -79.946950, 269.780000, 23:22:36.0
0.493652, 0.652588, -0.537354, 3.022901, -0.381679, -0.488550, 41.099262, 39.357086, 164.763962, 40.448601, -79.946950, 269.780000, 23:22:36.0
0.499268, 0.645996, -0.563232, 3.358779, 2.885496, -1.725191, 41.538120, 40.219036, 164.211777, 40.448601, -79.946950, 269.780000, 23:22:36.0
0.499023, 0.643066, -0.564697, -0.320611, 0.763359, -0.641221, 42.084732, 41.044819, 163.608917, 40.448601, -79.946950, 269.780000, 23:22:36.0
0.499023, 0.639893, -0.576172, -0.122137, 1.099237, -0.809160, 42.522469, 41.937916, 163.022324, 40.448601, -79.946950, 269.780000, 23:22:36.0
0.502441, 0.645508, -0.557861, 0.900763, 1.465649, -1.114504, 43.040691, 42.788769, 162.396301, 40.448601, -79.946950, 269.780000, 23:22:36.0
0.500244, 0.635742, -0.581055, -0.839695, -0.076336, -0.335878, 43.471790, 43.702610, 161.777893, 40.448601, -79.946950, 269.780000, 23:22:36.0
0.502197, 0.653320, -0.551514, 3.435115, 2.641221, -1.816794, 43.963673, 44.573181, 161.132309, 40.448601, -79.946950, 269.780000, 23:22:36.0
0.502197, 0.638428, -0.575928, -2.229008, -1.175573, 0.549618, 44.388752, 45.506470, 160.485931, 40.448601, -79.946950, 269.780000, 23:22:36.0
0.503174, 0.648193, -0.558350, 2.687023, 3.374046, -2.381679, 44.848808, 46.415352, 159.812454, 40.448601, -79.946950, 269.780000, 23:22:36.0
0.498535, 0.642578, -0.556885, -0.885496, -0.564885, 0.152672, 45.199654, 47.167408, 159.261169, 40.448601, -79.946950, 269.780000, 23:22:36.0
0.505371, 0.643066, -0.566650, 1.450382, 2.091603, -1.603053, 45.600594, 48.120850, 158.577957, 40.448601, -79.946950, 269.780000, 23:22:36.0
0.500977, 0.643066, -0.553467, 0.274809, 0.580153, -0.412214, 46.035236, 49.069561, 157.859665, 40.448601, -79.946950, 269.780000, 23:22:36.0
