ax, ay, az, gx, gy, gz, rx, ry, rz, lat, long, alt, time
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0:0:0.0
0.526367, 0.589600, -0.609619, -0.274809, 1.160305, -0.870229, 0.692152, 0.580271, -179.986069, 0.000000, 0.000000, 0.000000, 0:0:0.0
0.525635, 0.587646, -0.614258, -0.580153, 1.282443, -0.595420, 1.379675, 1.161724, -179.984238, 0.000000, 0.000000, 0.000000, 0:0:0.0
0.525879, 0.585449, -0.603271, 0.030534, 0.900763, -0.580153, 2.072215, 1.740943, -179.986053, 40.448578, -79.946781, 280.740000, 23:25:33.0
0.520508, 0.579102, -0.614258, 0.000000, 1.129771, -0.610687, 2.760191, 2.331752, 179.999481, 40.448578, -79.946781, 280.740000, 23:25:33.0
0.521240, 0.589111, -0.614258, 1.297710, 1.236641, -0.763359, 3.312943, 2.796783, 179.986511, 40.448578, -79.946781, 280.740000, 23:25:33.0
0.520752, 0.589844, -0.608398, 0.076336, 0.564885, -0.381679, 4.141515, 3.495014, 179.953842, 40.448578, -79.946781, 280.740000, 23:25:33.0
0.518311, 0.580811, -0.604248, 0.992366, 1.145038, -0.992366, 4.685724, 3.965076, 179.928650, 40.448578, -79.946781, 280.740000, 23:25:33.0
0.520996, 0.582031, -0.612305, 0.793893, 0.564885, -0.442748, 5.372190, 4.552458, 179.887360, 40.448578, -79.946781, 280.740000, 23:25:33.0
0.516846, 0.589111, -0.609619, 0.961832, 1.206107, -1.145038, 6.059161, 5.131349, 179.844193, 40.448578, -79.946781, 280.740000, 23:25:33.0
0.514160, 0.587402, -0.602783, 1.022901, 0.671756, -0.595420, 6.746796, 5.717628, 179.787186, 40.448574, -79.946776, 280.780000, 23:25:34.0
0.515381, 0.584473, -0.604736, 0.366412, 1.603053, -1.374046, 7.425344, 6.298612, 179.728485, 40.448574, -79.946776, 280.780000, 23:25:34.0
0.520996, 0.584717, -0.611328, 0.259542, 0.473282, -0.488550, 8.102526, 6.889150, 179.658981, 40.448574, -79.946776, 280.780000, 23:25:34.0
0.520264, 0.586426, -0.612061, 0.503817, 1.404580, -1.206107, 8.781779, 7.476223, 179.585648, 40.448574, -79.946776, 280.780000, 23:25:34.0
0.522949, 0.589111, -0.603516, 0.229008, 1.129771, -0.671756, 9.459906, 8.059102, 179.503555, 40.448574, -79.946776, 280.780000, 23:25:34.0
0.520996, 0.580078, -0.612793, -0.198473, 1.068702, -0.580153, 10.000877, 8.532984, 179.430145, 40.448574, -79.946776, 280.780000, 23:25:34.0
0.517334, 0.580322, -0.605713, 0.106870, 0.961832, -0.610687, 10.804862, 9.245716, 179.309586, 40.448571, -79.946778, 280.860000, 23:25:35.0
0.513184, 0.586426, -0.609131, 0.076336, 1.099237, -0.839695, 11.475917, 9.837137, 179.205048, 40.448571, -79.946778, 280.860000, 23:25:35.0
0.520508, 0.587158, -0.612793, -0.290076, 1.022901, -0.580153, 12.013247, 10.308675, 179.113068, 40.448571, -79.946778, 280.860000, 23:25:35.0
0.522461, 0.583740, -0.613525, 0.061069, 1.114504, -0.625954, 12.682500, 10.901800, 178.993927, 40.448571, -79.946778, 280.860000, 23:25:35.0
0.527832, 0.584717, -0.603760, 0.488550, 1.480916, -0.931298, 13.345534, 11.491271, 178.869934, 40.448571, -79.946778, 280.860000, 23:25:35.0
0.521973, 0.584229, -0.611328, -0.274809, 0.900763, -0.656489, 14.002576, 12.093916, 178.734253, 40.448571, -79.946778, 280.860000, 23:25:35.0
0.521240, 0.587891, -0.610107, 0.213740, 1.450382, -0.717557, 14.663540, 12.682535, 178.594528, 40.448571, -79.946778, 280.860000, 23:25:35.0
0.519287, 0.591309, -0.608643, -0.015267, 0.854962, -0.488550, 15.319517, 13.285378, 178.441666, 40.448571, -79.946778, 280.860000, 23:25:35.0
0.523193, 0.584473, -0.608887, 0.595420, 1.419847, -0.717557, 15.973062, 13.886618, 178.284897, 40.448571, -79.946778, 280.860000, 23:25:35.0
0.522949, 0.587891, -0.615723, 0.564885, 1.190840, -0.503817, 16.621166, 14.494710, 178.119293, 40.448571, -79.946778, 280.860000, 23:25:35.0
0.518799, 0.591797, -0.609375, 0.931298, 1.297710, -0.809160, 17.272589, 15.095262, 177.947784, 40.448571, -79.946778, 280.860000, 23:25:35.0
0.522705, 0.586182, -0.608887, 0.885496, 1.007634, -0.778626, 17.916437, 15.709025, 177.764114, 40.448571, -79.946778, 280.860000, 23:25:35.0
0.521973, 0.585449, -0.605469, 0.564885, 1.374046, -0.717557, 18.428186, 16.195583, 177.615402, 40.448571, -79.946778, 280.860000, 23:25:35.0
0.521729, 0.589600, -0.605713, 0.992366, 0.824427, -0.671756, 19.196444, 16.939985, 177.376587, 40.448571, -79.946778, 280.860000, 23:25:35.0
0.515137, 0.589844, -0.612061, 1.022901, 1.511450, -0.977099, 19.705875, 17.433504, 177.213318, 40.448571, -79.946778, 280.860000, 23:25:35.0
0.518311, 0.595215, -0.603027, 0.381679, 1.282443, -0.870229, 20.338903, 18.052395, 177.002167, 40.448571, -79.946778, 280.860000, 23:25:35.0
0.521484, 0.583252, -0.613770, 0.427481, 1.236641, -0.732824, 20.967230, 18.683474, 176.778748, 40.448571, -79.946778, 280.860000, 23:25:35.0
0.522217, 0.581299, -0.605957, 0.244275, 0.839695, -0.641221, 21.593357, 19.314663, 176.549515, 40.448571, -79.946778, 280.860000, 23:25:35.0
0.518311, 0.588623, -0.609619, 0.381679, 1.312977, -0.702290, 22.214275, 19.951872, 176.312088, 40.448571, -79.946778, 280.860000, 23:25:35.0
0.516846, 0.589355, -0.610596, 0.381679, 1.083969, -0.595420, 22.833820, 20.588707, 176.065552, 40.448571, -79.946778, 280.860000, 23:25:35.0
0.520996, 0.581299, -0.608643, 0.076336, 1.572519, -0.641221, 23.445496, 21.233929, 175.810547, 40.448572, -79.946780, 280.890000, 23:25:36.0
0.526123, 0.587158, -0.605713, -0.030534, 0.946565, -0.763359, 24.054779, 21.880896, 175.548767, 40.448572, -79.946780, 280.890000, 23:25:36.0
0.524414, 0.583008, -0.617920, -0.473282, 1.465649, -0.809160, 24.654697, 22.538546, 175.275528, 40.448572, -79.946780, 280.890000, 23:25:36.0
0.519775, 0.586914, -0.611328, -0.351145, 1.083969, -0.610687, 25.258736, 23.189232, 174.997223, 40.448572, -79.946780, 280.890000, 23:25:36.0
0.525146, 0.577393, -0.612793, 0.015267, 0.763359, -0.534351, 25.738924, 23.722879, 174.764160, 40.448572, -79.946780, 280.890000, 23:25:36.0
0.517578, 0.583252, -0.606201, 0.244275, 1.267176, -0.595420, 26.330599, 24.388739, 174.468552, 40.448572, -79.946780, 280.890000, 23:25:36.0
