ax, ay, az, gx, gy, gz, rx, ry, rz, lat, long, alt, time
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.141357, 0.589844, -0.792969, 2.152672, 1.679389, -0.320611, 0.910730, -0.227977, -179.994247, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.143066, 0.594727, -0.792969, -1.328244, 0.305344, -0.824427, 1.603325, -0.416962, -179.977219, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.158203, 0.578613, -0.788818, 6.045802, 1.374046, -1.435115, 2.735496, -0.726270, -179.935837, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.127930, 0.588623, -0.795654, -6.335878, 1.358779, -0.778626, 3.581917, -0.978656, -179.913742, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.135254, 0.607666, -0.808105, 3.053435, 1.251908, -0.931298, 4.266691, -1.148195, -179.890854, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.145752, 0.556641, -0.774414, 0.152672, 0.656489, -0.061069, 5.251462, -1.402087, -179.854004, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.132080, 0.612305, -0.799072, -4.534351, 1.022901, -0.473282, 6.007568, -1.641251, -179.830109, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.148926, 0.576172, -0.791504, 9.038168, 2.259542, -1.114504, 7.012802, -1.903822, -179.773483, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.145996, 0.560059, -0.782227, -6.122138, 0.458015, -0.229008, 7.877892, -2.161074, -179.728851, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.140381, 0.597412, -0.798340, 2.442748, 0.870229, -0.412214, 8.721283, -2.395380, -179.690948, 40.450781, -79.947642, 275.710000, 23:2:36.0
-0.145996, 0.588623, -0.793213, -0.427481, 0.916031, -0.656489, 9.616230, -2.630440, -179.644394, 40.450781, -79.947642, 275.710000, 23:2:36.0
-0.147217, 0.580322, -0.793701, 3.419847, 1.816794, -0.885496, 10.519985, -2.890146, -179.583725, 40.450781, -79.947642, 275.710000, 23:2:36.0
-0.143555, 0.586914, -0.793701, -3.129771, 1.694656, -0.564885, 11.397130, -3.145825, -179.525955, 40.450781, -79.947642, 275.710000, 23:2:36.0
-0.127686, 0.605957, -0.800781, 3.648855, 0.977099, -1.267176, 12.252209, -3.382821, -179.461456, 40.450781, -79.947642, 275.710000, 23:2:36.0
-0.146973, 0.562744, -0.781738, 2.320611, 1.038168, -0.152672, 13.028432, -3.591880, -179.401535, 40.450781, -79.947642, 275.710000, 23:2:36.0
-0.116699, 0.599365, -0.795898, -4.244275, 0.778626, -0.473282, 13.950091, -3.883040, -179.341614, 40.450780, -79.947643, 275.700000, 23:2:37.0
-0.145996, 0.591797, -0.801514, 9.145039, 1.893130, -1.312977, 14.926940, -4.149615, -179.250961, 40.450780, -79.947643, 275.700000, 23:2:37.0
-0.134033, 0.569824, -0.779541, -4.503817, 0.366412, 0.076336, 15.790330, -4.425497, -179.169067, 40.450780, -79.947643, 275.700000, 23:2:37.0
-0.140869, 0.597900, -0.800537, -0.335878, 0.977099, -0.641221, 16.434084, -4.627657, -179.111542, 40.450780, -79.947643, 275.700000, 23:2:37.0
-0.143311, 0.585693, -0.792480, 0.900763, 1.816794, -0.916031, 17.342953, -4.896458, -179.022552, 40.450780, -79.947643, 275.700000, 23:2:37.0
-0.152588, 0.583252, -0.792236, 3.740458, 1.770992, -0.977099, 18.232304, -5.171007, -178.922989, 40.450780, -79.947643, 275.700000, 23:2:37.0
-0.143799, 0.577881, -0.795166, -3.480916, 1.343511, 0.122137, 19.098629, -5.444913, -178.830719, 40.450780, -79.947643, 275.700000, 23:2:37.0
