ax, ay, az, gx, gy, gz, rx, ry, rz, lat, long, alt, time
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.126465, 0.662842, -0.746338, 2.809160, 1.404580, -0.488550, 0.902517, -0.177916, -179.987854, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.120605, 0.654297, -0.735840, -1.022901, 1.694656, -0.870229, 1.825955, -0.372323, -179.964935, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.128174, 0.659912, -0.742920, 4.412214, 3.480916, -1.038168, 2.725943, -0.564977, -179.943985, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.134033, 0.651123, -0.744385, -0.595420, 1.938931, -0.320611, 3.681159, -0.764993, -179.914734, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.107178, 0.645996, -0.738770, -2.961832, -1.328244, 0.610687, 4.363399, -0.898516, -179.899338, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.124023, 0.658447, -0.744141, 0.641221, -0.229008, -1.236641, 5.268815, -1.098815, -179.865631, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.125000, 0.657715, -0.749512, 0.824427, 1.496183, -0.625954, 6.150524, -1.300327, -179.831650, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.119385, 0.641602, -0.737061, 5.786260, 3.022901, -1.786260, 7.103726, -1.517590, -179.784409, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.105225, 0.659668, -0.739746, -2.259542, 2.656489, -1.083969, 7.962111, -1.709363, -179.751678, 40.450790, -79.947698, 282.660000, 22:59:19.0
-0.134521, 0.666016, -0.753662, 3.755725, 2.305344, -1.328244, 8.851088, -1.894285, -179.712677, 40.450790, -79.947698, 282.660000, 22:59:19.0
-0.126221, 0.638916, -0.732666, -3.389313, 0.839695, -0.793893, 9.763914, -2.092321, -179.668045, 40.450790, -79.947698, 282.660000, 22:59:19.0
-0.121094, 0.668213, -0.746094, 1.251908, 1.328244, -0.534351, 10.613928, -2.285465, -179.626694, 40.450790, -79.947698, 282.660000, 22:59:19.0
-0.122559, 0.652100, -0.739502, 0.229008, 0.870229, -1.007634, 11.571968, -2.505073, -179.568192, 40.450790, -79.947698, 282.660000, 22:59:19.0
-0.107666, 0.652832, -0.733398, -6.396946, -0.351145, -0.519084, 12.217527, -2.649638, -179.533218, 40.450790, -79.947698, 282.660000, 22:59:19.0
-0.102539, 0.639160, -0.734863, 4.045802, 1.206107, -1.145038, 13.167847, -2.865426, -179.471176, 40.450789, -79.947694, 282.570000, 22:59:20.0
-0.103760, 0.651367, -0.734131, -0.061069, -0.748092, 0.351145, 14.024984, -3.064302, -179.420319, 40.450789, -79.947694, 282.570000, 22:59:20.0
-0.143799, 0.662842, -0.745850, 2.809160, 1.679389, -1.557252, 14.909123, -3.284548, -179.353836, 40.450789, -79.947694, 282.570000, 22:59:20.0
-0.117920, 0.651367, -0.744141, -6.610687, 2.458015, -1.480916, 15.794121, -3.490570, -179.290970, 40.450789, -79.947694, 282.570000, 22:59:20.0
-0.132812, 0.665039, -0.750977, 5.267176, 3.832061, -2.045802, 16.682457, -3.701226, -179.223160, 40.450789, -79.947694, 282.570000, 22:59:20.0
-0.136719, 0.649902, -0.747070, 2.061069, 1.236641, -1.022901, 17.590593, -3.909970, -179.150604, 40.450789, -79.947694, 282.570000, 22:59:20.0
-0.128662, 0.664795, -0.744629, 0.549618, 1.633588, -1.099237, 18.430283, -4.112246, -179.085114, 40.450791, -79.947698, 282.570000, 22:59:21.0
-0.116943, 0.652100, -0.745117, -0.961832, 1.053435, -0.564885, 19.343185, -4.330273, -179.002045, 40.450791, -79.947698, 282.570000, 22:59:21.0
-0.136230, 0.655518, -0.748291, -0.442748, 0.549618, -0.427481, 20.180319, -4.531737, -178.930634, 40.450791, -79.947698, 282.570000, 22:59:21.0
-0.117676, 0.650146, -0.733398, 0.763359, 0.503817, -0.564885, 21.084181, -4.759711, -178.838882, 40.450791, -79.947698, 282.570000, 22:59:21.0
-0.109863, 0.657471, -0.738281, -2.824427, 0.610687, -0.488550, 21.759512, -4.947146, -178.765503, 40.450791, -79.947698, 282.570000, 22:59:21.0
-0.116211, 0.651367, -0.746582, 5.587786, 2.106870, -1.816794, 22.670879, -5.191709, -178.657715, 40.450791, -79.947698, 282.570000, 22:59:21.0
-0.125732, 0.639404, -0.748291, -1.480916, 1.664122, -1.022901, 23.560246, -5.432970, -178.554077, 40.450791, -79.947698, 282.570000, 22:59:21.0
-0.135986, 0.654785, -0.747803, 1.038168, 1.450382, -0.763359, 24.400557, -5.658005, -178.459152, 40.450790, -79.947696, 282.690000, 22:59:22.0
-0.117920, 0.650879, -0.741455, -4.030534, -0.213740, -0.167939, 25.240282, -5.868697, -178.370499, 40.450790, -79.947696, 282.690000, 22:59:22.0
-0.139893, 0.667969, -0.747803, 0.351145, 0.366412, -0.625954, 26.052759, -6.089669, -178.273254, 40.450790, -79.947696, 282.690000, 22:59:22.0
-0.132080, 0.645752, -0.733154, 1.221374, 1.374046, -0.366412, 26.965937, -6.357334, -178.141449, 40.450790, -79.947696, 282.690000, 22:59:22.0
-0.124268, 0.662354, -0.741943, -3.206107, 0.412214, -0.045802, 27.760635, -6.590001, -178.035126, 40.450790, -79.947696, 282.690000, 22:59:22.0
-0.113281, 0.651855, -0.739990, 4.000000, 1.068702, -1.419847, 28.673752, -6.860384, -177.894394, 40.450790, -79.947696, 282.690000, 22:59:22.0
-0.115723, 0.644287, -0.741699, -0.030534, 1.129771, -0.625954, 29.543055, -7.129104, -177.761246, 40.450790, -79.947696, 282.690000, 22:59:22.0
-0.122314, 0.649170, -0.746582, 2.061069, 2.106870, -1.358779, 30.239182, -7.349538, -177.646179, 40.450790, -79.947696, 282.690000, 22:59:22.0
-0.105713, 0.656982, -0.748779, -3.893130, 0.458015, -0.473282, 31.241476, -7.648447, -177.491287, 40.450790, -79.947696, 282.690000, 22:59:22.0
-0.128906, 0.652588, -0.741455, 2.625954, 1.083969, -0.916031, 32.083763, -7.893710, -177.358704, 40.450790, -79.947696, 282.690000, 22:59:22.0
-0.123535, 0.643799, -0.737549, -3.908397, -0.229008, -0.290076, 32.915821, -8.155669, -177.214172, 40.450790, -79.947696, 282.690000, 22:59:22.0
-0.117432, 0.673828, -0.750977, -0.793893, 1.083969, -0.442748, 33.531380, -8.347897, -177.115768, 40.450790, -79.947696, 282.690000, 22:59:22.0
-0.123535, 0.646729, -0.738770, 2.335878, 0.671756, -0.641221, 34.457626, -8.647631, -176.930817, 40.450790, -79.947696, 282.690000, 22:59:22.0
