ax, ay, az, gx, gy, gz, rx, ry, rz, lat, long, alt, time
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0:0:0.0
0.561279, 0.568848, -0.580566, 0.625954, 0.839695, -0.763359, 0.524647, 0.490231, -179.987839, 0.000000, 0.000000, 0.000000, 0:0:0.0
0.566406, 0.558594, -0.593750, 0.000000, 1.267176, -0.610687, 1.178183, 1.127100, -179.987488, 0.000000, 0.000000, 0.000000, 0:0:0.0
0.564941, 0.577637, -0.582520, -0.061069, 1.725191, -0.625954, 1.829674, 1.731451, -179.984238, 40.452815, -80.003748, 0.000000, 0:13:25.0
0.563477, 0.566406, -0.587402, -0.305344, 0.351145, -0.229008, 2.486359, 2.363623, -179.999603, 40.452815, -80.003748, 0.000000, 0:13:25.0
0.570068, 0.566650, -0.589111, -0.076336, 1.969466, -0.992366, 3.135943, 2.979895, 179.986481, 40.452815, -80.003748, 0.000000, 0:13:25.0
0.570312, 0.569824, -0.580078, 1.038168, 0.259542, -0.427481, 3.792921, 3.606089, 179.958481, 40.452815, -80.003748, 0.000000, 0:13:25.0
0.566162, 0.557373, -0.593750, 0.442748, 2.061069, -1.343511, 4.440320, 4.229788, 179.927933, 40.452815, -80.003748, 0.000000, 0:13:25.0
0.568359, 0.573242, -0.584717, 0.687023, 0.824427, -0.839695, 5.094759, 4.843830, 179.890747, 40.452815, -80.003748, 0.000000, 0:13:25.0
0.568359, 0.562256, -0.599121, -0.106870, 1.404580, -0.763359, 5.738301, 5.475250, 179.842026, 40.452815, -80.003748, 0.000000, 0:13:25.0
0.564941, 0.573242, -0.586426, -0.229008, 1.435115, -0.748092, 6.256585, 5.959681, 179.804001, 40.452830, -80.003755, 232.970000, 0:13:26.0
0.564453, 0.554932, -0.599609, 0.473282, 1.007634, -0.702290, 7.036180, 6.721226, 179.725372, 40.452830, -80.003755, 232.970000, 0:13:26.0
0.561523, 0.566650, -0.588379, -0.045802, 2.152672, -1.007634, 7.548381, 7.210488, 179.673370, 40.452830, -80.003755, 232.970000, 0:13:26.0
0.563232, 0.569580, -0.585693, 0.656489, 0.137405, -0.290076, 8.198143, 7.838809, 179.594543, 40.452830, -80.003755, 232.970000, 0:13:26.0
0.559082, 0.559326, -0.587158, 0.076336, 2.061069, -1.312977, 8.837666, 8.464902, 179.512054, 40.452830, -80.003755, 232.970000, 0:13:26.0
0.572021, 0.567627, -0.578125, 1.099237, 0.381679, -0.519084, 9.475893, 9.087233, 179.421585, 40.452830, -80.003755, 232.970000, 0:13:26.0
0.567139, 0.567383, -0.597168, 0.778626, 1.526718, -0.748092, 10.115279, 9.719934, 179.321411, 40.452827, -80.003757, 233.340000, 0:13:27.0
0.571533, 0.575195, -0.585449, 0.763359, 1.083969, -0.839695, 10.750782, 10.335787, 179.220978, 40.452827, -80.003757, 233.340000, 0:13:27.0
0.565186, 0.560547, -0.591553, -0.274809, 1.221374, -0.870229, 11.383885, 10.974506, 179.102585, 40.452827, -80.003757, 233.340000, 0:13:27.0
0.570312, 0.574219, -0.574951, -0.030534, 0.992366, -0.473282, 12.009830, 11.594069, 178.983810, 40.452827, -80.003757, 233.340000, 0:13:27.0
0.565430, 0.563232, -0.578613, 0.274809, -0.396947, 0.000000, 12.517716, 12.113106, 178.875854, 40.452827, -80.003757, 233.340000, 0:13:27.0
0.561768, 0.562256, -0.595703, 0.274809, 2.427481, -1.083969, 13.138885, 12.737262, 178.744232, 40.452827, -80.003757, 233.340000, 0:13:27.0
0.568115, 0.572266, -0.576172, 0.931298, 0.183206, -0.519084, 13.768406, 13.369157, 178.602478, 40.452827, -80.003757, 233.340000, 0:13:27.0
0.560547, 0.562500, -0.592285, 0.656489, 1.587786, -1.221374, 14.384681, 14.009383, 178.451813, 40.452828, -80.003754, 233.410000, 0:13:28.0
0.566162, 0.569092, -0.575195, 1.022901, 0.625954, -0.595420, 15.000695, 14.638005, 178.296097, 40.452828, -80.003754, 233.410000, 0:13:28.0
0.561768, 0.559326, -0.592773, 0.381679, 1.068702, -0.763359, 15.610862, 15.289034, 178.127228, 40.452828, -80.003754, 233.410000, 0:13:28.0
0.566162, 0.577637, -0.581299, 0.839695, 0.977099, -0.977099, 16.224827, 15.915062, 177.962357, 40.452828, -80.003754, 233.410000, 0:13:28.0
0.565186, 0.559326, -0.596680, 0.412214, 1.358779, -0.900763, 16.837763, 16.571697, 177.777527, 40.452828, -80.003754, 233.410000, 0:13:28.0
0.564941, 0.578857, -0.576416, -0.580153, 1.725191, -0.625954, 17.439819, 17.202154, 177.595337, 40.452828, -80.003754, 233.410000, 0:13:28.0
0.567139, 0.569824, -0.583740, -0.137405, -0.045802, -0.061069, 18.043537, 17.866692, 177.392807, 40.452828, -80.003754, 233.410000, 0:13:28.0
0.563232, 0.562744, -0.597656, 0.106870, 2.167939, -1.022901, 18.643599, 18.509377, 177.192520, 40.452828, -80.003754, 233.410000, 0:13:28.0
0.568115, 0.567383, -0.580811, 0.961832, 0.427481, -0.717557, 19.245981, 19.159647, 176.980865, 40.452828, -80.003754, 233.410000, 0:13:28.0
0.565674, 0.564453, -0.592773, 0.290076, 1.969466, -1.145038, 19.834747, 19.823116, 176.761200, 40.452828, -80.003754, 233.410000, 0:13:28.0
0.565430, 0.573730, -0.575684, 0.427481, 0.763359, -0.534351, 20.421701, 20.476831, 176.535889, 40.452828, -80.003754, 233.410000, 0:13:28.0
0.562988, 0.557617, -0.595459, 0.000000, 1.114504, -0.366412, 20.890444, 21.021988, 176.339920, 40.452828, -80.003754, 233.410000, 0:13:28.0
0.563721, 0.579102, -0.576416, -0.106870, 1.251908, -0.503817, 21.474152, 21.673792, 176.104385, 40.452827, -80.003746, 233.560000, 0:13:29.0
0.565674, 0.559814, -0.597168, 0.335878, 0.305344, -0.213740, 22.052221, 22.361858, 175.848526, 40.452827, -80.003746, 233.560000, 0:13:29.0
0.562256, 0.572510, -0.583252, 0.427481, 2.320611, -1.312977, 22.626099, 23.023367, 175.596329, 40.452827, -80.003746, 233.560000, 0:13:29.0
0.565430, 0.566162, -0.579834, 0.610687, 0.198473, -0.244275, 23.199203, 23.713219, 175.324478, 40.452827, -80.003746, 233.560000, 0:13:29.0
0.564941, 0.559326, -0.597900, 0.015267, 1.832061, -1.022901, 23.762871, 24.398455, 175.049164, 40.452827, -80.003746, 233.560000, 0:13:29.0
0.566895, 0.573975, -0.577881, 0.824427, 1.053435, -0.763359, 24.212984, 24.937141, 174.827133, 40.452827, -80.003746, 233.560000, 0:13:29.0
0.566406, 0.560547, -0.599854, 0.656489, 1.480916, -1.022901, 24.882914, 25.783743, 174.471481, 40.452827, -80.003746, 233.560000, 0:13:29.0
0.564453, 0.568115, -0.581543, 1.099237, 1.068702, -0.854962, 25.439983, 26.469650, 174.173615, 40.452827, -80.003746, 233.560000, 0:13:29.0
