ax, ay, az, gx, gy, gz, rx, ry, rz, lat, long, alt, time
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0:0:0.0
0.573975, 0.515137, -0.620361, 0.534351, 1.022901, -0.916031, 0.494981, 0.531556, -179.995514, 0.000000, 0.000000, 0.000000, 0:0:0.0
0.569336, 0.527344, -0.616455, 0.503817, 1.526718, -0.671756, 1.119733, 1.168142, -179.984070, 0.000000, 0.000000, 0.000000, 0:0:0.0
0.569092, 0.517822, -0.626221, 0.763359, 0.885496, -0.778626, 1.866996, 1.964703, -179.994995, 40.448417, -79.987059, 0.000000, 0:20:5.0
0.567871, 0.530762, -0.621826, -0.641221, 1.938931, -1.129771, 2.367357, 2.471007, -179.996979, 40.448417, -79.987059, 0.000000, 0:20:5.0
0.571289, 0.519531, -0.615967, -0.427481, 0.137405, -0.076336, 2.996380, 3.122829, 179.982437, 40.448417, -79.987059, 0.000000, 0:20:5.0
0.572510, 0.523438, -0.622559, -0.396947, 1.694656, -0.824427, 3.617180, 3.777790, 179.958084, 40.448417, -79.987059, 0.000000, 0:20:5.0
0.575195, 0.530762, -0.611328, 0.702290, 0.702290, -0.732824, 4.242226, 4.426074, 179.928055, 40.448417, -79.987059, 0.000000, 0:20:5.0
0.567627, 0.520752, -0.626709, 0.885496, 1.725191, -1.083969, 4.861788, 5.080866, 179.886810, 40.448417, -79.987059, 0.000000, 0:20:5.0
0.575195, 0.531738, -0.611572, 0.977099, 0.793893, -0.732824, 5.485799, 5.720195, 179.842331, 40.448417, -79.987059, 0.000000, 0:20:5.0
0.572510, 0.515137, -0.624756, 0.793893, 1.129771, -0.916031, 6.099175, 6.383373, 179.782318, 40.448418, -79.987056, 226.300000, 0:20:6.0
0.573486, 0.536133, -0.609619, 0.580153, 1.816794, -1.022901, 6.717045, 7.015684, 179.725372, 40.448418, -79.987056, 226.300000, 0:20:6.0
0.572021, 0.520996, -0.614258, 0.320611, 0.442748, -0.229008, 7.334215, 7.680509, 179.650543, 40.448418, -79.987056, 226.300000, 0:20:6.0
0.567871, 0.526123, -0.627686, -0.167939, 1.954198, -1.007634, 7.950665, 8.320156, 179.579834, 40.448418, -79.987056, 226.300000, 0:20:6.0
0.574951, 0.523193, -0.613037, 0.244275, 0.198473, -0.351145, 8.570047, 8.972233, 179.492798, 40.448418, -79.987056, 226.300000, 0:20:6.0
0.572021, 0.521729, -0.623779, 1.007634, 1.389313, -0.931298, 9.055810, 9.501262, 179.417557, 40.448418, -79.987056, 226.300000, 0:20:6.0
0.575439, 0.530273, -0.611328, 0.625954, 0.702290, -0.732824, 9.663758, 10.142380, 179.323471, 40.448421, -79.987051, 226.320000, 0:20:7.0
0.566406, 0.522461, -0.615234, -0.045802, 0.900763, -0.732824, 10.270279, 10.808256, 179.211609, 40.448421, -79.987051, 226.320000, 0:20:7.0
0.566895, 0.530762, -0.613525, 0.503817, 1.450382, -0.702290, 10.878507, 11.450294, 179.102936, 40.448421, -79.987051, 226.320000, 0:20:7.0
0.570312, 0.514160, -0.621826, 0.106870, 0.656489, -0.656489, 11.479593, 12.119590, 178.976486, 40.448421, -79.987051, 226.320000, 0:20:7.0
