ax, ay, az, gx, gy, gz, rx, ry, rz, lat, long, alt, time
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.133301, 0.647949, -0.765625, 3.770992, 1.480916, -1.511450, 0.906907, -0.167229, -179.979446, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.093018, 0.618896, -0.747559, 2.427481, 2.854962, -1.022901, 1.876990, -0.372798, -179.951874, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.104492, 0.653076, -0.762939, -0.351145, 0.595420, -0.595420, 2.710086, -0.526913, -179.938980, 40.450742, -79.947698, 278.510000, 23:7:9.0
-0.116455, 0.640869, -0.760010, 5.297710, 2.091603, -0.839695, 3.696468, -0.717943, -179.905045, 40.450742, -79.947698, 278.510000, 23:7:9.0
-0.102051, 0.626465, -0.751221, -6.045802, 0.045802, -0.748092, 4.557661, -0.896341, -179.878204, 40.450742, -79.947698, 278.510000, 23:7:9.0
-0.114258, 0.653076, -0.765381, 3.633588, 2.595420, -1.664122, 5.459238, -1.077360, -179.848633, 40.450742, -79.947698, 278.510000, 23:7:9.0
-0.111816, 0.629150, -0.761475, 0.839695, 1.328244, -1.114504, 6.389575, -1.255216, -179.815018, 40.450742, -79.947698, 278.510000, 23:7:9.0
-0.111084, 0.637207, -0.749756, -0.290076, 0.717557, -0.412214, 7.080249, -1.384518, -179.797485, 40.450742, -79.947698, 278.510000, 23:7:9.0
-0.105957, 0.637207, -0.756348, 0.992366, 2.152672, -0.595420, 7.977011, -1.579686, -179.760437, 40.450742, -79.947699, 278.510000, 23:7:10.0
-0.107422, 0.644775, -0.755859, 3.648855, 1.801527, -1.160305, 8.868423, -1.757567, -179.722519, 40.450742, -79.947699, 278.510000, 23:7:10.0
-0.094727, 0.620117, -0.743164, 2.992366, 2.320611, -1.129771, 9.841242, -1.969090, -179.666397, 40.450742, -79.947699, 278.510000, 23:7:10.0
-0.101318, 0.632080, -0.759033, -4.381680, -0.778626, 0.564885, 10.663991, -2.126526, -179.637512, 40.450742, -79.947699, 278.510000, 23:7:10.0
-0.110596, 0.635986, -0.755371, 0.580153, 0.137405, -0.641221, 11.589910, -2.310897, -179.587006, 40.450742, -79.947699, 278.510000, 23:7:10.0
-0.111572, 0.633545, -0.752686, -6.992366, -0.213740, -0.335878, 12.445629, -2.499409, -179.540894, 40.450742, -79.947699, 278.510000, 23:7:10.0
-0.115967, 0.654785, -0.770264, 2.839695, 1.847328, -1.389313, 13.321261, -2.688491, -179.490509, 40.450740, -79.947701, 278.540000, 23:7:11.0
-0.122559, 0.622803, -0.759277, 1.770992, 1.206107, -0.793893, 14.274021, -2.890679, -179.428024, 40.450740, -79.947701, 278.540000, 23:7:11.0
-0.108398, 0.630615, -0.744141, 0.717557, 1.267176, -0.595420, 15.103034, -3.068860, -179.383041, 40.450740, -79.947701, 278.540000, 23:7:11.0
-0.100098, 0.638672, -0.752441, 0.946565, 2.290076, -0.732824, 15.992921, -3.270978, -179.320129, 40.450740, -79.947701, 278.540000, 23:7:11.0
-0.116455, 0.652344, -0.762695, 4.351145, 1.618321, -1.343511, 16.899006, -3.471926, -179.247208, 40.450740, -79.947701, 278.540000, 23:7:11.0
-0.114258, 0.613525, -0.753174, 3.435115, 2.030534, -1.099237, 17.690928, -3.666735, -179.172989, 40.450740, -79.947701, 278.540000, 23:7:11.0
-0.101562, 0.624023, -0.755859, -7.572519, -0.167939, 0.381679, 18.491957, -3.860367, -179.113953, 40.450740, -79.947701, 278.540000, 23:7:11.0
-0.117432, 0.657227, -0.773682, 4.458015, 0.396947, -1.145038, 19.372154, -4.046631, -179.044083, 40.450740, -79.947701, 278.540000, 23:7:11.0
