ax, ay, az, gx, gy, gz, rx, ry, rz, lat, long, alt, time, velocity
0.443115,0.038818,0.910645,0.335878,1.175573,-0.839695,2.215428,25.958261,-179.438705,40.449753,-79.949766,313.510000,1:50:37.0,0.164622
0.443115,0.038818,0.910645,0.351145,1.221374,-0.564885,2.073313,25.879324,-179.434479,40.449753,-79.949766,313.510000,1:50:37.0,0.164622
0.438477,0.035400,0.910400,0.274809,1.251908,-0.870229,2.011777,25.720360,-179.426285,40.449753,-79.949766,313.510000,1:50:37.0,0.164622
0.438477,0.035400,0.910400,0.152672,1.083969,-0.671756,2.066386,25.749582,-179.423218,40.449753,-79.949766,313.510000,1:50:37.0,0.164622
0.440918,0.040771,0.911865,0.366412,1.129771,-0.656489,2.246067,25.786648,-179.423050,40.449753,-79.949766,313.510000,1:50:37.0,0.164622
0.440918,0.040771,0.911865,0.488550,0.992366,-0.763359,2.423062,25.838749,-179.423462,40.449753,-79.949766,313.510000,1:50:37.0,0.164622
0.445068,0.034424,0.912354,0.381679,1.068702,-0.717557,2.253392,25.893675,-179.423981,40.449753,-79.949766,313.510000,1:50:37.0,0.164622
0.445068,0.034424,0.912354,0.396947,1.267176,-0.732824,1.915977,26.010015,-179.424149,40.449753,-79.949766,313.510000,1:50:37.0,0.164622
0.442383,0.037354,0.912598,0.152672,1.083969,-0.839695,2.058097,25.898005,-179.417618,40.449753,-79.949766,313.510000,1:50:37.0,0.164622
0.442383,0.037354,0.912598,0.152672,1.282443,-0.549618,2.200723,25.792139,-179.412125,40.449753,-79.949766,313.510000,1:50:37.0,0.164622
0.442383,0.037354,0.912598,0.320611,1.221374,-0.778626,2.059598,25.895941,-179.413956,40.449753,-79.949766,313.510000,1:50:37.0,0.164622
0.444580,0.041016,0.914307,0.320611,1.160305,-0.885496,2.424171,25.950682,-179.411224,40.449753,-79.949766,313.510000,1:50:37.0,0.164622
0.444580,0.041016,0.914307,0.305344,1.175573,-0.732824,2.248623,25.915989,-179.407898,40.449753,-79.949766,313.510000,1:50:37.0,0.164622
0.445068,0.038574,0.909912,0.229008,1.083969,-0.839695,2.178600,26.068642,-179.411392,40.449753,-79.949766,313.510000,1:50:37.0,0.164622
0.445068,0.038574,0.909912,0.351145,1.358779,-0.687023,2.210753,25.990667,-179.406738,40.449753,-79.949766,313.510000,1:50:37.0,0.164622
0.444580,0.038330,0.908936,0.351145,1.389313,-0.702290,2.212468,25.988106,-179.403366,40.449753,-79.949766,313.510000,1:50:37.0,0.164622
0.444580,0.038330,0.908936,0.412214,1.236641,-0.732824,2.127686,26.135353,-179.407272,40.449753,-79.949766,313.510000,1:50:37.0,0.164622
