ax, ay, az, gx, gy, gz, rx, ry, rz, lat, long, alt, time
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.130859, 0.630615, -0.750732, 1.236641, 0.564885, -0.656489, 0.945038, -0.204786, -179.978775, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.135742, 0.647217, -0.754883, -1.740458, 2.244275, -0.931298, 1.811126, -0.390466, -179.967667, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.128662, 0.646973, -0.755371, -0.916031, 1.282443, -1.022901, 2.726296, -0.579108, -179.948425, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.108643, 0.640625, -0.742676, 1.740458, 0.473282, -0.274809, 3.632874, -0.766610, -179.929260, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.123291, 0.633301, -0.748779, 2.641221, 1.587786, -1.114504, 4.382779, -0.957005, -179.894073, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.109375, 0.646973, -0.750488, -2.167939, 0.839695, -0.167939, 5.254137, -1.148261, -179.870316, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.127441, 0.644775, -0.753418, 3.770992, 1.923664, -1.160305, 6.183292, -1.344317, -179.835876, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.125244, 0.633301, -0.750977, -2.992366, 0.717557, -0.488550, 7.068629, -1.546038, -179.801971, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.124268, 0.653076, -0.761475, 2.458015, 2.106870, -1.770992, 7.942447, -1.738994, -179.764175, 0.000000, 0.000000, 0.000000, 0:0:0.0
-0.118896, 0.626709, -0.746582, 0.473282, 0.900763, -0.687023, 8.893938, -1.937356, -179.717285, 40.450783, -79.947673, 276.000000, 22:57:2.0
-0.128906, 0.647461, -0.754150, -1.847328, 1.511450, -0.305344, 9.730463, -2.115890, -179.689499, 40.450783, -79.947673, 276.000000, 22:57:2.0
-0.115234, 0.642334, -0.754883, -0.244275, 1.068702, 0.167939, 10.624553, -2.315730, -179.646912, 40.450783, -79.947673, 276.000000, 22:57:2.0
-0.105469, 0.637939, -0.749268, -0.793893, 0.091603, -1.679389, 11.511595, -2.511181, -179.597229, 40.450783, -79.947673, 276.000000, 22:57:2.0
-0.129883, 0.636719, -0.753174, 3.694656, 2.290076, -1.038168, 12.439775, -2.736042, -179.527649, 40.450783, -79.947673, 276.000000, 22:57:2.0
-0.098389, 0.640137, -0.748047, -1.709924, 0.763359, -0.442748, 13.125129, -2.896899, -179.487701, 40.450783, -79.947673, 276.000000, 22:57:2.0
-0.115967, 0.637207, -0.745850, 0.900763, -0.091603, -0.839695, 14.208959, -3.145070, -179.417084, 40.450783, -79.947673, 276.000000, 22:57:2.0
-0.126709, 0.635986, -0.750000, -4.732824, 0.702290, -0.610687, 14.888711, -3.312460, -179.370697, 40.450783, -79.947673, 276.000000, 22:57:2.0
-0.126709, 0.657227, -0.758301, 2.946565, 3.007634, -2.045802, 15.758230, -3.514038, -179.311508, 40.450783, -79.947673, 276.000000, 22:57:2.0
-0.130371, 0.633057, -0.759277, 4.106870, 2.366412, -1.038168, 16.735685, -3.755608, -179.222778, 40.450783, -79.947673, 276.000000, 22:57:2.0
-0.138672, 0.641846, -0.759277, -2.335878, 0.137405, -0.045802, 17.581135, -3.964851, -179.158737, 40.450783, -79.947673, 276.000000, 22:57:2.0
-0.109619, 0.636475, -0.756348, -0.625954, 0.366412, -0.335878, 18.470207, -4.192531, -179.078827, 40.450783, -79.947673, 276.000000, 22:57:2.0
-0.115479, 0.641846, -0.759033, 1.190840, 0.000000, -0.625954, 19.332495, -4.404364, -179.003052, 40.450783, -79.947673, 276.000000, 22:57:2.0
-0.118164, 0.628906, -0.745850, 1.801527, 1.480916, -0.229008, 20.247063, -4.633426, -178.917404, 40.450783, -79.947673, 276.000000, 22:57:2.0
-0.117188, 0.647949, -0.751221, -5.541985, -0.015267, -0.274809, 21.016806, -4.827938, -178.854797, 40.450783, -79.947673, 276.000000, 22:57:2.0
-0.128662, 0.641846, -0.744385, 5.969466, 2.656489, -0.900763, 21.900017, -5.049816, -178.765747, 40.450783, -79.947673, 276.000000, 22:57:2.0
-0.121582, 0.620850, -0.736816, -4.396946, 0.900763, -1.206107, 22.795887, -5.295740, -178.663422, 40.450783, -79.947673, 276.000000, 22:57:2.0
-0.126953, 0.659180, -0.754639, 2.167939, 2.427481, -1.755725, 23.622389, -5.545555, -178.563416, 40.450783, -79.947673, 276.000000, 22:57:2.0
-0.123535, 0.635986, -0.762207, 2.763359, 0.610687, -0.916031, 24.579819, -5.813133, -178.432663, 40.450783, -79.947673, 276.000000, 22:57:2.0
-0.115967, 0.627686, -0.748047, -0.595420, 1.145038, 0.793893, 25.412470, -6.042097, -178.340683, 40.450776, -79.947664, 275.710000, 22:57:3.0
-0.127930, 0.635742, -0.757568, 2.381679, 1.923664, -0.549618, 26.100965, -6.245908, -178.251099, 40.450776, -79.947664, 275.710000, 22:57:3.0
-0.108154, 0.654053, -0.760010, -2.381679, -0.381679, -0.366412, 26.921251, -6.461969, -178.153992, 40.450776, -79.947664, 275.710000, 22:57:3.0
-0.127197, 0.639648, -0.750244, 4.549618, 1.755725, -1.068702, 27.824362, -6.732353, -178.018448, 40.450776, -79.947664, 275.710000, 22:57:3.0
-0.104004, 0.634277, -0.747314, -5.496183, 0.427481, 0.061069, 28.641159, -6.966090, -177.907349, 40.450776, -79.947664, 275.710000, 22:57:3.0
-0.133301, 0.659912, -0.761963, 3.633588, 2.488550, -1.236641, 29.461775, -7.198663, -177.795074, 40.450776, -79.947664, 275.710000, 22:57:3.0
-0.114014, 0.631836, -0.743652, -0.396947, 0.564885, -0.854962, 30.385170, -7.471148, -177.641129, 40.450776, -79.947664, 275.710000, 22:57:3.0
-0.116455, 0.651611, -0.754883, -1.038168, 1.328244, -0.961832, 31.157755, -7.716862, -177.523743, 40.450781, -79.947671, 276.010000, 22:57:4.0
-0.112793, 0.637207, -0.752441, 3.297710, 0.687023, -0.641221, 32.085758, -8.021956, -177.347427, 40.450781, -79.947671, 276.010000, 22:57:4.0
-0.123291, 0.636230, -0.747314, -4.732824, -0.152672, 0.290076, 32.875790, -8.258906, -177.222885, 40.450781, -79.947671, 276.010000, 22:57:4.0
-0.116455, 0.634033, -0.751709, 1.893130, 1.083969, -1.374046, 33.708385, -8.545775, -177.059402, 40.450781, -79.947671, 276.010000, 22:57:4.0
-0.119873, 0.644043, -0.751221, -0.763359, 1.099237, -0.748092, 34.386517, -8.770935, -176.930420, 40.450781, -79.947671, 276.010000, 22:57:4.0
-0.151611, 0.635498, -0.749268, 4.793893, 2.610687, -1.526718, 35.251350, -9.089112, -176.744568, 40.450781, -79.947671, 276.010000, 22:57:4.0
-0.110596, 0.635498, -0.754150, -4.183206, 0.595420, -0.595420, 36.078484, -9.394684, -176.565628, 40.450781, -79.947671, 276.010000, 22:57:4.0
-0.154541, 0.650635, -0.763916, 3.435115, 2.000000, -1.267176, 36.888153, -9.676484, -176.399521, 40.450781, -79.947671, 276.010000, 22:57:4.0
-0.119385, 0.623779, -0.746338, 0.076336, 0.625954, -0.442748, 37.794407, -10.020702, -176.176117, 40.450777, -79.947667, 275.880000, 22:57:5.0
-0.107422, 0.644043, -0.751953, -2.900763, 0.366412, 0.000000, 38.527863, -10.288858, -176.027847, 40.450777, -79.947667, 275.880000, 22:57:5.0
-0.113281, 0.642578, -0.753906, 5.419847, 1.160305, -0.519084, 39.421227, -10.646222, -175.795288, 40.450777, -79.947667, 275.880000, 22:57:5.0
-0.108398, 0.637695, -0.738281, -6.946565, -1.007634, 0.412214, 40.196476, -10.919677, -175.622833, 40.450777, -79.947667, 275.880000, 22:57:5.0
-0.112305, 0.655273, -0.749512, 3.312977, 2.229008, -1.282443, 41.005409, -11.264852, -175.406143, 40.450777, -79.947667, 275.880000, 22:57:5.0
-0.111572, 0.649902, -0.750000, 0.885496, 1.358779, -0.488550, 41.692986, -11.540311, -175.222443, 40.450777, -79.947667, 275.880000, 22:57:5.0
-0.145020, 0.643555, -0.753174, 3.160305, 2.519084, -1.740458, 42.534271, -11.909410, -174.976303, 40.450777, -79.947667, 275.880000, 22:57:5.0
-0.101318, 0.639404, -0.757324, -1.694656, 1.175573, -0.549618, 43.380955, -12.302730, -174.712296, 40.450780, -79.947671, 275.920000, 22:57:6.0
-0.142090, 0.651123, -0.763672, 0.992366, 0.580153, -0.610687, 44.157433, -12.636189, -174.486603, 40.450780, -79.947671, 275.920000, 22:57:6.0
-0.131348, 0.633057, -0.752197, 3.267176, 1.877863, -1.282443, 45.058231, -13.082524, -174.157440, 40.450780, -79.947671, 275.920000, 22:57:6.0
-0.103516, 0.635498, -0.750488, -5.160306, 0.641221, -0.595420, 45.774593, -13.410155, -173.937683, 40.450780, -79.947671, 275.920000, 22:57:6.0
-0.128174, 0.650146, -0.758789, 7.847328, 2.427481, -1.389313, 46.629086, -13.857364, -173.611511, 40.450780, -79.947671, 275.920000, 22:57:6.0
-0.106201, 0.620605, -0.740723, -6.687023, -0.183206, 0.045802, 47.424583, -14.245045, -173.325806, 40.450780, -79.947671, 275.920000, 22:57:6.0
-0.133301, 0.644043, -0.765381, 3.160305, 2.045802, -1.801527, 48.199699, -14.677876, -173.012573, 40.450780, -79.947671, 275.920000, 22:57:6.0
-0.106934, 0.633301, -0.752930, -0.610687, 1.129771, -0.519084, 48.870842, -15.033817, -172.735107, 40.450780, -79.947671, 275.920000, 22:57:6.0
-0.146240, 0.643066, -0.758545, 3.679389, 3.282443, -1.877863, 49.817707, -15.578953, -172.326080, 40.450780, -79.947671, 275.920000, 22:57:6.0
-0.118408, 0.641602, -0.762939, 0.305344, 0.824427, -0.793893, 50.474770, -15.980739, -172.013733, 40.450780, -79.947671, 275.920000, 22:57:6.0
-0.136963, 0.655762, -0.755371, -0.702290, 0.198473, 0.335878, 51.204556, -16.380478, -171.705460, 40.450780, -79.947671, 275.920000, 22:57:6.0
-0.113770, 0.628418, -0.740234, 3.511450, 0.656489, -0.625954, 52.057484, -16.930830, -171.261719, 40.450780, -79.947671, 275.920000, 22:57:6.0
-0.106445, 0.635254, -0.742920, -6.198473, -0.167939, 0.610687, 52.757687, -17.359888, -170.935730, 40.450780, -79.947671, 275.920000, 22:57:6.0
-0.142334, 0.658691, -0.761230, 7.664122, 2.900763, -1.877863, 53.579754, -17.962053, -170.452911, 40.450780, -79.947671, 275.920000, 22:57:6.0
-0.110840, 0.625488, -0.743408, -3.358779, 0.519084, 0.045802, 54.390034, -18.513769, -169.999252, 40.450780, -79.947671, 275.920000, 22:57:6.0
-0.145996, 0.648926, -0.758545, 1.877863, 2.916031, -2.076336, 55.122887, -19.086554, -169.542709, 40.450780, -79.947671, 275.920000, 22:57:6.0
-0.112305, 0.637695, -0.752930, -0.732824, 0.519084, -0.748092, 55.939835, -19.717556, -169.014267, 40.450780, -79.947671, 275.920000, 22:57:6.0
-0.147949, 0.646484, -0.763184, 2.488550, 1.969466, -1.053435, 56.697422, -20.327908, -168.511230, 40.450780, -79.947671, 275.920000, 22:57:6.0
-0.107178, 0.630615, -0.755127, -0.351145, 0.351145, -0.183206, 57.497086, -21.035686, -167.915451, 40.450780, -79.947671, 275.920000, 22:57:6.0
-0.115723, 0.642334, -0.756348, -2.824427, 0.045802, 0.473282, 58.051254, -21.491339, -167.535416, 40.450780, -79.947671, 275.920000, 22:57:6.0
-0.104736, 0.627930, -0.746338, 4.824428, 1.709924, -1.267176, 58.847614, -22.252970, -166.874527, 40.450780, -79.947671, 275.920000, 22:57:6.0
-0.106934, 0.627441, -0.746582, -5.740458, 0.152672, 0.091603, 59.562725, -22.904449, -166.317001, 40.450780, -79.947671, 275.920000, 22:57:6.0
-0.146240, 0.660156, -0.769775, 6.290076, 2.625954, -2.061069, 60.310474, -23.692648, -165.634903, 40.450780, -79.947671, 275.920000, 22:57:6.0
-0.103027, 0.624023, -0.750244, -3.694656, -0.137405, -0.015267, 61.095039, -24.489992, -164.916016, 40.450780, -79.947671, 275.920000, 22:57:6.0
-0.141846, 0.651367, -0.759277, -0.412214, 2.091603, -1.297710, 61.740334, -25.186119, -164.313141, 40.450776, -79.947667, 275.900000, 22:57:7.0
-0.104004, 0.641846, -0.754639, 2.305344, 1.328244, -0.885496, 62.505711, -26.102722, -163.489426, 40.450776, -79.947667, 275.900000, 22:57:7.0
-0.151855, 0.644043, -0.747314, 1.267176, 1.557252, -0.625954, 63.212616, -26.968691, -162.708572, 40.450776, -79.947667, 275.900000, 22:57:7.0
-0.118164, 0.631348, -0.742676, -0.122137, 0.809160, -0.671756, 63.955364, -28.032894, -161.743439, 40.450776, -79.947667, 275.900000, 22:57:7.0
