ax, ay, az, gx, gy, gz, rx, ry, rz, lat, long, alt, time, velocity
0.441895,0.036377,0.913086,0.274809,1.160305,-0.702290,2.013064,25.791502,-179.418655,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.441895,0.036377,0.913086,0.366412,1.251908,-0.839695,2.153924,25.902203,-179.420502,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.438965,0.039062,0.911377,0.274809,1.160305,-0.748092,2.244292,25.590631,-179.404129,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.438965,0.039062,0.911377,0.259542,0.885496,-0.885496,2.202760,25.753168,-179.407883,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.439941,0.035645,0.912598,0.244275,0.961832,-0.488550,2.023299,25.734509,-179.406006,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.439941,0.035645,0.912598,0.305344,1.114504,-0.839695,1.878121,25.782785,-179.405319,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.443359,0.038574,0.906738,0.137405,1.129771,-0.625954,2.117296,25.874527,-179.405487,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.443359,0.038574,0.906738,0.274809,1.236641,-0.732824,2.181220,26.028793,-179.409363,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.443359,0.038574,0.906738,0.137405,1.160305,-0.870229,2.224711,26.198715,-179.413239,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.440186,0.036377,0.908447,0.213740,1.251908,-0.748092,2.084421,25.886631,-179.397522,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.439453,0.037842,0.911621,0.229008,1.190840,-0.824427,2.145584,25.725039,-179.389099,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.439453,0.037842,0.911621,0.183206,1.007634,-0.763359,2.078291,25.888548,-179.392899,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.439453,0.037842,0.911621,0.412214,1.145038,-0.595420,2.144675,25.728750,-179.385696,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.443848,0.033936,0.915039,0.351145,1.282443,-0.763359,1.846283,25.916042,-179.388535,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.443848,0.033936,0.915039,0.564885,1.312977,-0.717557,1.998647,25.818371,-179.383789,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.439941,0.038818,0.913086,0.122137,1.206107,-0.656489,2.162231,25.736063,-179.378784,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.439941,0.038818,0.913086,0.167939,1.236641,-0.748092,2.329019,25.674864,-179.374146,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.442383,0.034424,0.912109,0.229008,1.022901,-0.748092,2.011342,25.827585,-179.375595,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.442383,0.034424,0.912109,0.106870,1.053435,-0.763359,1.864009,25.926327,-179.376541,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.444580,0.035645,0.912109,0.351145,1.129771,-0.854962,2.034645,25.989363,-179.376389,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.444580,0.035645,0.912109,0.458015,1.206107,-0.763359,1.869349,25.957737,-179.373535,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.441895,0.037842,0.912842,0.442748,1.160305,-0.748092,2.135110,25.833805,-179.364853,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.441895,0.037842,0.912842,0.244275,1.022901,-0.732824,2.159841,25.771866,-179.360443,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.441895,0.037842,0.912842,0.274809,1.160305,-1.007634,2.097240,25.930254,-179.363403,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.442871,0.036865,0.912842,0.412214,1.145038,-0.748092,2.047949,25.774399,-179.355911,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.442871,0.036865,0.912842,0.167939,1.236641,-0.717557,2.044354,25.779236,-179.351883,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.445068,0.039307,0.909668,0.183206,1.175573,-0.824427,2.135592,25.920696,-179.354614,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.445068,0.039307,0.909668,0.244275,1.221374,-0.809160,2.223652,26.064964,-179.357849,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.442871,0.037842,0.907959,0.045802,1.175573,-0.610687,2.090955,25.953129,-179.351654,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.442871,0.037842,0.907959,0.351145,1.175573,-0.854962,2.225906,26.067900,-179.353729,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.442871,0.037842,0.907959,0.122137,1.206107,-0.854962,2.094860,25.954794,-179.346756,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
0.444336,0.039551,0.911621,0.122137,1.053435,-0.809160,2.100178,25.967773,-179.343094,40.449691,-79.949463,314.970000,1:52:37.0,0.216067
